"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N"
"9500000US0629790","Paradise Elementary School District, California","678","197","481","450","402","3","3","34","4","4","31","28","4","10","0","0","9","0","0","0","3","0","0","0","0","1","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9500000US0630090","Peninsula Union Elementary School District, California","392","25","367","331","294","8","14","2","7","6","36","31","4","15","0","2","6","0","0","1","0","0","0","0","3","0","0","5","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9500000US0630180","Perris Elementary School District, California","35111","26666","8445","7918","4049","2741","99","800","91","138","527","498","140","115","58","13","71","33","10","14","29","3","1","4","5","2","0","25","7","0","0","3","2","1","2","1","2","0","2","0","4","0","1","0","0","0","0","0","4","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9500000US0630230","Petaluma City Elementary School District, California","25663","4641","21022","19859","18445","288","91","815","69","151","1163","1094","101","316","316","42","275","12","5","10","0","5","0","0","6","6","0","67","10","8","0","7","18","2","3","15","1","0","0","0","0","0","3","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9500000US0630390","Pine Ridge Elementary School District, California","777","78","699","656","633","0","6","5","3","9","43","43","4","15","6","0","13","1","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9500000US0630450","Piner-Olivet Union Elementary School District, California","12569","2981","9588","9014","7623","287","114","887","43","60","574","531","57","169","129","28","121","5","4","1","0","3","0","2","9","3","0","39","6","2","0","5","5","4","1","8","6","0","1","0","0","0","0","0","0","0","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"9500000US0630480","Pioneer Union Elementary School District (El Dorado County), California","4457","382","4075","3832","3673","7","46","53","16","37","243","241","8","114","30","3","77","1","2","0","0","0","0","0","4","2","0","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9500000US0630510","Pioneer Union Elementary School District (Kings County), California","8996","2855","6141","5834","4736","321","60","653","9","55","307","290","46","81","63","2","71","0","8","0","4","0","1","0","10","4","0","13","6","0","1","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9500000US0630520","Pioneer Union Elementary School District (Butte County), California","1520","103","1417","1310","1171","12","72","42","2","11","107","103","10","66","10","0","12","0","3","0","0","0","1","0","1","0","0","4","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9500000US0630630","Pixley Union Elementary School District, California","3357","2760","597","566","454","68","5","24","0","15","31","29","0","15","3","5","4","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
