"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N"
"620L600US29006","State House District 6 (2018), Missouri","27560","469","27091","26028","24838","880","84","127","15","84","1063","1028","155","575","49","0","240","0","4","0","0","0","0","0","4","0","1","29","18","0","1","0","0","1","5","0","0","0","0","0","0","0","4","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"620L600US29007","State House District 7 (2018), Missouri","25886","403","25483","24765","24135","361","91","127","10","41","718","692","71","403","37","3","157","6","4","3","0","5","3","0","0","0","0","21","6","0","0","0","7","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"620L600US29008","State House District 8 (2018), Missouri","28119","519","27600","26503","25985","242","107","99","14","56","1097","1059","61","639","74","4","261","2","2","0","9","0","0","3","2","2","0","36","14","1","0","0","9","4","0","0","5","1","2","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29009","State House District 9 (2018), Missouri","30419","909","29510","28462","26662","1055","87","493","107","58","1048","1023","165","495","62","8","239","5","10","0","7","1","0","0","31","0","0","20","8","9","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29010","State House District 10 (2018), Missouri","25724","1645","24079","22933","20571","1805","126","240","123","68","1146","1088","230","546","43","6","205","26","8","0","15","1","0","0","8","0","0","54","33","1","1","6","4","0","0","7","0","0","0","1","0","0","1","0","0","0","0","0","4","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29011","State House District 11 (2018), Missouri","28266","1465","26801","25649","24803","535","103","117","39","52","1152","1115","156","608","70","19","246","2","3","0","6","2","0","0","3","0","0","35","18","1","0","1","5","8","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29012","State House District 12 (2018), Missouri","33036","1300","31736","30362","29000","694","138","379","53","98","1374","1340","111","716","124","14","332","25","6","0","5","1","0","0","3","3","0","34","16","2","0","3","4","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29013","State House District 13 (2018), Missouri","33413","1833","31580","30115","27123","1694","133","824","185","156","1465","1420","164","618","212","23","328","26","10","1","18","3","0","0","10","7","0","44","23","5","0","4","3","2","2","2","0","0","0","0","3","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29014","State House District 14 (2018), Missouri","37012","2566","34446","32827","26832","4111","141","1397","215","131","1619","1568","258","641","193","39","334","36","14","7","27","6","0","0","9","4","0","45","20","9","0","4","0","3","3","5","0","0","0","0","1","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29015","State House District 15 (2018), Missouri","30989","2411","28578","27053","23018","2753","136","749","252","145","1525","1441","254","676","137","20","265","39","9","2","19","5","0","0","13","2","0","80","44","6","1","7","9","0","0","8","0","0","4","0","0","0","0","0","0","0","0","1","4","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29016","State House District 16 (2018), Missouri","38257","2314","35943","34389","30323","2508","113","1292","59","94","1554","1499","223","637","248","25","286","42","9","0","21","1","0","0","6","1","0","54","26","14","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29017","State House District 17 (2018), Missouri","30378","2008","28370","26863","23832","2229","140","490","85","87","1507","1459","237","666","166","9","307","34","6","3","20","3","0","0","8","0","0","42","13","11","0","5","3","0","1","2","0","0","3","0","2","0","0","0","0","0","0","2","6","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29018","State House District 18 (2018), Missouri","32840","3009","29831","28266","23309","3235","182","1231","187","122","1565","1485","232","670","210","17","279","27","28","0","16","2","0","0","3","1","0","80","47","11","2","1","4","5","4","4","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29019","State House District 19 (2018), Missouri","26973","8461","18512","17387","11560","3480","113","2050","81","103","1125","1056","182","503","80","19","151","73","11","2","18","6","0","1","2","7","1","63","27","7","0","14","1","1","6","6","0","0","1","0","0","0","0","0","0","0","0","0","6","0","0","2","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29020","State House District 20 (2018), Missouri","29259","1874","27385","25568","23656","1154","156","233","276","93","1817","1720","187","907","80","58","427","21","5","8","11","0","0","1","11","1","3","93","41","13","1","7","10","4","5","10","0","0","1","0","1","0","0","0","0","0","0","0","4","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29021","State House District 21 (2018), Missouri","29802","2826","26976","25261","22007","2501","167","306","192","88","1715","1624","220","792","122","37","347","52","16","4","19","1","0","1","8","3","2","80","36","5","1","3","8","0","2","16","2","1","3","0","0","3","0","0","0","0","0","0","9","3","0","3","2","1","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"620L600US29022","State House District 22 (2018), Missouri","27835","3311","24524","23269","7787","14922","139","234","50","137","1255","1157","387","296","50","17","128","209","13","13","36","1","3","2","0","0","2","89","71","1","2","6","1","0","2","0","1","0","3","1","0","1","0","0","0","0","0","0","5","1","0","1","2","0","0","1","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0"
"620L600US29023","State House District 23 (2018), Missouri","26103","7127","18976","18020","4586","12565","128","587","41","113","956","834","245","200","39","8","78","176","20","12","47","0","0","3","2","4","0","113","86","9","0","5","0","0","1","5","0","2","1","0","4","0","0","0","0","0","0","0","9","5","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29024","State House District 24 (2018), Missouri","42095","4710","37385","35497","28419","4981","131","1756","24","186","1888","1751","341","550","409","37","242","79","22","5","27","3","0","1","34","1","0","127","62","14","2","22","4","1","3","11","3","0","2","0","1","1","1","0","0","0","0","0","8","4","0","1","3","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"620L600US29025","State House District 25 (2018), Missouri","32215","1541","30674","29382","26683","1708","69","816","8","98","1292","1235","232","444","207","6","269","44","10","2","14","1","0","0","4","2","0","48","28","2","0","8","1","0","2","6","0","0","0","0","0","1","0","0","0","0","0","0","8","5","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"620L600US29026","State House District 26 (2018), Missouri","29381","1616","27765","26457","10801","14803","137","529","20","167","1308","1231","388","266","122","11","147","212","20","4","45","4","0","0","8","4","0","68","44","8","0","7","2","0","0","1","1","0","1","1","0","2","1","0","0","0","0","0","9","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29027","State House District 27 (2018), Missouri","26928","1980","24948","23785","8157","14887","107","497","34","103","1163","1052","324","238","73","11","103","213","27","3","46","2","0","2","5","5","0","107","60","6","0","16","9","2","3","2","0","0","0","3","4","2","0","0","0","0","0","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"620L600US29028","State House District 28 (2018), Missouri","28673","1954","26719","25338","15889","8766","127","344","72","140","1381","1303","310","472","97","19","195","117","17","10","43","3","0","1","16","3","0","74","48","2","1","7","0","2","2","5","4","0","0","0","1","2","0","0","0","0","0","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"620L600US29029","State House District 29 (2018), Missouri","31190","2992","28198","26632","21535","4204","163","471","143","116","1566","1487","237","674","119","42","278","64","11","19","29","2","0","1","7","2","2","72","58","4","5","0","0","1","0","1","0","1","0","0","2","0","0","0","0","0","0","0","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0"
"620L600US29030","State House District 30 (2018), Missouri","31720","1638","30082","28756","24896","2818","90","781","54","117","1326","1271","191","527","156","21","284","49","14","7","14","0","2","0","6","0","0","49","27","7","2","0","1","0","2","3","0","0","1","0","4","0","2","0","0","0","0","0","5","2","0","0","1","0","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"620L600US29031","State House District 31 (2018), Missouri","30488","1567","28921","27382","24311","2291","153","489","57","81","1539","1469","246","656","119","36","317","30","17","6","22","3","0","5","9","3","0","63","39","3","4","3","4","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29032","State House District 32 (2018), Missouri","30398","1478","28920","27383","25665","1147","121","346","45","59","1537","1480","172","777","137","30","313","19","17","3","9","0","1","0","2","0","0","56","15","5","1","11","6","2","2","10","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"620L600US29033","State House District 33 (2018), Missouri","28576","741","27835","26590","25922","306","117","151","19","75","1245","1216","70","758","74","6","291","7","0","2","3","2","0","0","3","0","0","28","10","2","0","0","7","0","2","5","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29034","State House District 34 (2018), Missouri","28051","1169","26882","25596","22971","1977","71","495","23","59","1286","1192","174","547","137","5","258","37","13","1","15","2","1","0","1","1","0","87","51","5","1","10","5","0","2","5","0","0","1","0","2","3","2","0","0","0","0","0","7","5","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29035","State House District 35 (2018), Missouri","31396","1536","29860","28557","23907","3668","81","733","60","108","1303","1248","212","543","160","12","225","52","12","0","24","2","0","1","2","2","1","54","23","0","0","11","15","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620L600US29036","State House District 36 (2018), Missouri","29618","2119","27499","26284","14885","10454","121","671","39","114","1215","1124","307","320","131","7","137","152","23","0","41","1","0","2","0","3","0","85","56","3","1","4","4","1","3","6","2","0","0","1","3","0","1","0","0","0","0","0","6","2","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
