"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N"
"9600000US4747189","Wilson County School District in Lebanon, Tennessee","29996","2003","27993","27104","23348","3156","107","390","11","92","889","854","199","402","71","7","131","28","1","0","8","0","0","0","4","3","0","35","23","1","0","0","7","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9600000US4799999","Remainder of Tennessee, Tennessee","5120851","286902","4833949","4669595","3765574","778319","12106","96525","2511","14560","164354","157045","24772","80013","15555","1352","25614","4279","1448","256","2340","194","52","132","675","330","33","6606","3524","528","82","454","623","115","291","549","111","21","79","14","64","86","29","4","17","6","0","9","553","202","27","171","31","27","1","52","13","4","11","5","2","0","7","0","140","80","53","4","3","0","0","10","10"
"9600000US4848285","Hallettsville Independent School District (9-12) in Vysehrad, Texas","648","24","624","615","593","20","0","2","0","0","9","9","1","5","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9600000US4899999","Remainder of Texas, Texas","21866052","7907295","13958757","13383296","9437400","2575237","67248","1205576","20144","77691","575461","545637","85986","210340","83866","5969","104446","17523","9236","1884","13150","1464","233","691","8021","2584","244","26828","11855","2677","328","2628","2340","381","1169","3019","684","78","388","68","442","367","198","51","39","16","10","90","2524","937","113","707","169","151","18","230","54","2","47","49","18","2","27","0","424","224","150","19","13","12","6","48","48"
"9600000US5505490","Nicolet Union High School District, Wisconsin","20982","784","20198","19584","16255","2246","28","952","13","90","614","590","161","103","155","0","129","20","2","0","4","0","0","0","13","3","0","23","8","2","0","7","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9600000US5506120","Hartford Union High School District, Wisconsin","26064","788","25276","24750","24257","138","48","214","2","91","526","516","68","179","74","10","174","4","0","0","4","0","0","0","3","0","0","7","1","0","0","0","1","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9600000US5506180","Arrowhead Union High School District, Wisconsin","26343","570","25773","25224","24547","125","50","443","13","46","549","537","53","193","87","2","187","1","1","0","5","0","0","0","3","5","0","12","2","0","3","2","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9600000US5507650","Lake Geneva-Genoa City Union High School District, Wisconsin","20050","2054","17996","17415","16965","148","53","198","3","48","581","569","44","198","85","5","227","1","0","0","5","0","0","0","4","0","0","9","3","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9600000US5509630","Lakeland Union High School District, Wisconsin","16347","189","16158","15773","14137","51","1431","77","2","75","385","381","22","206","25","2","113","5","0","0","4","1","2","0","1","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9600000US5513290","Westosha Central High School District, Wisconsin","16309","711","15598","15083","14743","99","29","171","1","40","515","506","43","215","64","5","174","0","0","0","4","0","0","1","0","0","0","9","3","2","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9600000US5515150","Union Grove Union High School District, Wisconsin","10897","470","10427","10167","9777","214","65","71","0","40","260","252","19","107","25","1","98","0","0","0","0","0","1","0","1","0","0","8","4","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9600000US5515480","Big Foot Union High School District, Wisconsin","9116","888","8228","8028","7797","112","12","91","2","14","200","193","14","66","16","1","90","3","0","0","2","0","0","0","1","0","0","7","1","0","0","0","0","0","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
