"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N"
"5001600US0620","Congressional District 20 (116th Congress), California","569289","282269","287020","268036","216815","11032","1943","33593","1864","2789","18984","17625","1946","4233","5533","524","3507","186","428","41","128","132","21","46","738","102","60","1233","254","184","17","47","206","21","39","362","21","1","39","0","2","15","8","1","10","3","0","3","100","27","4","17","11","4","2","22","3","0","5","0","1","0","4","0","21","14","5","1","1","0","0","5","5"
"5001600US0621","Congressional District 21 (116th Congress), California","498068","358292","139776","131877","87630","19724","2613","19546","478","1886","7899","7316","894","2513","1380","169","1151","232","142","14","90","74","8","14","537","84","14","509","164","64","19","37","44","11","20","95","15","8","5","0","7","11","2","2","1","0","0","4","64","22","6","11","0","0","0","15","0","1","4","1","1","1","2","0","8","6","2","0","0","0","0","2","2"
"5001600US0622","Congressional District 22 (116th Congress), California","574658","257525","317133","300028","224554","15894","3134","52910","730","2806","17105","16146","1762","6021","3577","353","3163","254","217","39","153","111","7","20","326","124","19","894","299","78","10","55","124","34","31","189","14","1","8","8","8","22","4","0","2","0","0","7","51","27","0","9","0","2","0","6","1","0","5","1","0","0","0","0","14","13","1","0","0","0","0","0","0"
"5001600US0623","Congressional District 23 (116th Congress), California","568994","220037","348957","328168","251129","35037","4787","33192","988","3035","20789","19643","2452","8351","3225","322","3224","546","305","48","386","97","12","33","471","159","12","1027","407","81","9","58","137","15","48","191","23","4","12","10","11","8","4","3","6","0","0","0","105","29","6","34","6","11","1","8","1","0","0","0","1","0","8","0","13","2","7","0","3","1","0","1","1"
"5001600US0624","Congressional District 24 (116th Congress), California","590734","196030","394704","372925","325077","9688","2397","31861","716","3186","21779","20544","2122","5882","6061","547","4758","145","183","20","204","64","13","14","435","94","2","1118","272","113","13","41","196","33","26","326","36","10","8","7","0","0","0","6","7","11","3","10","97","24","3","26","0","3","2","22","2","5","0","0","2","0","8","0","20","15","3","2","0","0","0","0","0"
"5001600US0625","Congressional District 25 (116th Congress), California","570285","220684","349601","329783","228492","43753","1622","51792","835","3289","19818","18252","2906","4227","4943","390","3118","659","397","68","733","61","19","16","519","164","32","1408","510","173","5","135","115","16","28","303","44","6","19","2","14","16","9","4","5","0","0","4","138","64","3","29","7","9","1","16","3","0","1","4","0","0","1","0","19","7","9","1","2","0","0","1","1"
"5001600US0626","Congressional District 26 (116th Congress), California","558326","233000","325326","307507","250338","9807","1392","42257","1014","2699","17819","16665","1808","4201","5410","442","3425","171","294","28","197","76","9","17","475","89","23","1032","252","112","24","65","135","20","32","322","27","3","8","2","0","14","7","0","9","0","0","0","102","42","2","17","15","1","6","19","0","0","0","0","0","0","0","0","20","12","8","0","0","0","0","0","0"
"5001600US0627","Congressional District 27 (116th Congress), California","581130","150270","430860","416082","153854","22680","834","235894","430","2390","14778","13595","1820","1837","5465","174","1920","348","391","55","315","87","6","26","868","267","16","1057","332","129","12","105","108","3","19","238","28","2","14","6","27","15","5","0","6","2","0","6","114","54","8","24","9","5","0","8","0","0","4","2","0","0","0","0","12","5","3","2","0","2","0","0","0"
"5001600US0628","Congressional District 28 (116th Congress), California","608097","136578","471519","449829","346603","18025","889","80407","470","3435","21690","20382","3143","2828","8651","311","3522","270","393","34","367","101","5","33","557","157","10","1142","381","215","11","117","71","5","19","193","42","3","18","4","13","21","15","4","3","3","0","4","155","77","5","27","20","8","0","9","3","0","4","1","1","0","0","0","7","4","3","0","0","0","0","4","4"
"5001600US0629","Congressional District 29 (116th Congress), California","554961","350391","204570","194843","119186","22098","954","49418","547","2640","9727","8808","1547","1306","2885","144","1296","295","302","44","425","69","7","24","341","107","16","780","261","81","7","96","68","8","21","122","31","7","19","6","14","8","14","6","8","1","0","2","125","48","2","36","12","8","1","12","0","0","0","2","2","0","2","0","14","8","6","0","0","0","0","0","0"
